county,instance_id,benchmark,optimized_objective,completion_time,num_parks,route_cost,walking_cost,loading_cost,parking_time,q,f
Cook,1,CDPP,309.0706666666667,309.0706666666667,7,13.822333333333333,127.24833333333333,105.0,9.0,3,2.1
Cook,1,Modified TSP,396.6218333333335,396.6218333333335,20,24.695333333333338,191.92650000000015,105.0,9.0,3,2.1
Cook,1,Relaxed M-S (alpha=0.5),124.90508333333332,594.8101666666666,50,39.81016666666666,0.0,105.0,9.0,3,2.1
Cook,1,Relaxed M-S (alpha=0.6),128.8861,594.8101666666666,50,39.81016666666666,0.0,105.0,9.0,3,2.1
Cook,1,Relaxed M-S (alpha=0.8),137.28463333333332,370.3471666666667,20,25.35866666666666,59.988499999999995,105.0,9.0,3,2.1
Cook,2,CDPP,300.7795,300.7795,11,26.983166666666666,69.79633333333334,105.0,9.0,3,2.1
Cook,2,Modified TSP,363.1176666666667,363.1176666666667,20,30.173000000000002,152.9446666666667,105.0,9.0,3,2.1
Cook,2,Relaxed M-S (alpha=0.5),124.04158333333332,584.0831666666667,49,38.08316666666665,0.0,105.0,9.0,3,2.1
Cook,2,Relaxed M-S (alpha=0.6),127.84989999999999,584.0831666666667,49,38.08316666666665,0.0,105.0,9.0,3,2.1
Cook,2,Relaxed M-S (alpha=0.8),135.29813333333334,380.48366666666664,25,33.669,16.814666666666664,105.0,9.0,3,2.1
Cook,3,CDPP,272.53566666666666,272.53566666666666,7,12.565999999999999,91.96966666666665,105.0,9.0,3,2.1
Cook,3,Modified TSP,348.70616666666655,348.70616666666655,20,19.255333333333333,149.4508333333332,105.0,9.0,3,2.1
Cook,3,Relaxed M-S (alpha=0.5),116.9095,560.819,48,23.818999999999992,0.0,105.0,9.0,3,2.1
Cook,3,Relaxed M-S (alpha=0.6),119.2676,542.8416666666667,46,23.65466666666666,0.1869999999999998,105.0,9.0,3,2.1
Cook,3,Relaxed M-S (alpha=0.8),123.96113333333332,542.8416666666667,46,23.65466666666666,0.1869999999999998,105.0,9.0,3,2.1
Cook,4,CDPP,273.76533333333333,273.76533333333333,7,8.828666666666667,96.93666666666668,105.0,9.0,3,2.1
Cook,4,Modified TSP,371.26633333333336,371.26633333333336,16,11.327333333333332,215.93900000000002,105.0,9.0,3,2.1
Cook,4,Relaxed M-S (alpha=0.5),115.49408333333334,575.9881666666666,50,20.98816666666666,0.0,105.0,9.0,3,2.1
Cook,4,Relaxed M-S (alpha=0.6),117.5929,575.9881666666666,50,20.98816666666666,0.0,105.0,9.0,3,2.1
Cook,4,Relaxed M-S (alpha=0.8),123.80203333333333,425.30466666666666,31,17.5685,23.736166666666662,105.0,9.0,3,2.1
Cook,5,CDPP,314.478,314.478,8,14.591333333333337,122.88666666666666,105.0,9.0,3,2.1
Cook,5,Modified TSP,384.8403333333333,384.8403333333333,20,23.879,180.9613333333333,105.0,9.0,3,2.1
Cook,5,Relaxed M-S (alpha=0.5),121.13525,587.2705000000001,50,32.270500000000006,0.0,105.0,9.0,3,2.1
Cook,5,Relaxed M-S (alpha=0.6),124.3623,587.2705000000001,50,32.270500000000006,0.0,105.0,9.0,3,2.1
Cook,5,Relaxed M-S (alpha=0.8),133.2339,382.752,24,26.472499999999997,35.27949999999999,105.0,9.0,3,2.1
Cook,6,CDPP,283.026,283.026,6,13.435166666666667,110.59083333333332,105.0,9.0,3,2.1
Cook,6,Modified TSP,375.2781666666667,375.2781666666667,17,21.086166666666664,201.19200000000006,105.0,9.0,3,2.1
Cook,6,Relaxed M-S (alpha=0.5),121.51825000000001,588.0364999999999,50,33.03650000000001,0.0,105.0,9.0,3,2.1
Cook,6,Relaxed M-S (alpha=0.6),124.8219,588.0364999999999,50,33.03650000000001,0.0,105.0,9.0,3,2.1
Cook,6,Relaxed M-S (alpha=0.8),133.87779999999998,309.07899999999995,13,19.10333333333333,67.97566666666665,105.0,9.0,3,2.1
Cook,7,CDPP,295.11249999999995,295.11249999999995,10,17.445333333333334,82.66716666666665,105.0,9.0,3,2.1
Cook,7,Modified TSP,368.1143333333334,368.1143333333334,18,19.910499999999995,186.20383333333336,105.0,9.0,3,2.1
Cook,7,Relaxed M-S (alpha=0.5),118.46616666666667,581.9323333333333,50,26.932333333333325,0.0,105.0,9.0,3,2.1
Cook,7,Relaxed M-S (alpha=0.6),121.15939999999999,581.9323333333333,50,26.932333333333325,0.0,105.0,9.0,3,2.1
Cook,7,Relaxed M-S (alpha=0.8),127.89583333333333,385.0391666666667,26,22.813333333333333,23.225833333333334,105.0,9.0,3,2.1
Cook,8,CDPP,277.655,277.655,8,8.160166666666667,92.49483333333333,105.0,9.0,3,2.1
Cook,8,Modified TSP,382.60400000000004,382.60400000000004,17,19.6925,209.91150000000005,105.0,9.0,3,2.1
Cook,8,Relaxed M-S (alpha=0.5),121.71833333333333,588.4366666666667,50,33.43666666666667,0.0,105.0,9.0,3,2.1
Cook,8,Relaxed M-S (alpha=0.6),125.062,588.4366666666667,50,33.43666666666667,0.0,105.0,9.0,3,2.1
Cook,8,Relaxed M-S (alpha=0.8),130.37213333333332,381.36216666666667,23,19.16616666666667,50.196,105.0,9.0,3,2.1
Cook,9,CDPP,277.20533333333333,277.20533333333333,7,7.672833333333333,101.5325,105.0,9.0,3,2.1
Cook,9,Modified TSP,361.77899999999994,361.77899999999994,19,13.393166666666666,177.38583333333327,105.0,9.0,3,2.1
Cook,9,Relaxed M-S (alpha=0.5),114.58025,574.1605,50,19.1605,0.0,105.0,9.0,3,2.1
Cook,9,Relaxed M-S (alpha=0.6),116.4963,574.1605,50,19.1605,0.0,105.0,9.0,3,2.1
Cook,9,Relaxed M-S (alpha=0.8),120.3284,574.1605,50,19.1605,0.0,105.0,9.0,3,2.1
Cook,10,CDPP,296.61833333333334,296.61833333333334,7,8.351666666666667,120.26666666666667,105.0,9.0,3,2.1
Cook,10,Modified TSP,384.44116666666673,384.44116666666673,20,17.891333333333332,186.54983333333342,105.0,9.0,3,2.1
Cook,10,Relaxed M-S (alpha=0.5),119.087,583.174,50,28.173999999999996,0.0,105.0,9.0,3,2.1
Cook,10,Relaxed M-S (alpha=0.6),121.9044,583.174,50,28.173999999999996,0.0,105.0,9.0,3,2.1
Cook,10,Relaxed M-S (alpha=0.8),128.76613333333333,465.00766666666664,35,24.607666666666663,20.400000000000002,105.0,9.0,3,2.1
Adams,1,CDPP,271.6008333333333,271.6008333333333,17,26.626,54.97483333333333,105.0,5.0,3,2.1
Adams,1,Modified TSP,290.1505,290.1505,23,22.016166666666667,153.13433333333336,105.0,5.0,3,2.1
Adams,1,Relaxed M-S (alpha=0.5),117.63575,380.2715,50,25.2715,0.0,105.0,5.0,3,2.1
Adams,1,Relaxed M-S (alpha=0.6),120.1629,380.2715,50,25.2715,0.0,105.0,5.0,3,2.1
Adams,1,Relaxed M-S (alpha=0.8),125.2172,380.2715,50,25.2715,0.0,105.0,5.0,3,2.1
Adams,2,CDPP,307.1168333333333,307.1168333333333,17,54.684,62.43283333333333,105.0,5.0,3,2.1
Adams,2,Modified TSP,333.15,333.15,27,58.923,139.22699999999998,105.0,5.0,3,2.1
Adams,2,Relaxed M-S (alpha=0.5),140.26991666666666,380.5398333333333,41,70.53983333333333,0.0,105.0,5.0,3,2.1
Adams,2,Relaxed M-S (alpha=0.6),147.28216666666665,370.56516666666664,39,70.28049999999999,0.2846666666666666,105.0,5.0,3,2.1
Adams,2,Relaxed M-S (alpha=0.8),159.67866666666666,318.3453333333333,27,65.01599999999999,13.329333333333333,105.0,5.0,3,2.1
Adams,3,CDPP,251.29066666666665,251.29066666666665,12,17.574333333333332,68.71633333333334,105.0,5.0,3,2.1
Adams,3,Modified TSP,273.4743333333333,273.4743333333333,22,19.297333333333334,144.17699999999994,105.0,5.0,3,2.1
Adams,3,Relaxed M-S (alpha=0.5),115.78391666666667,376.56783333333334,50,21.567833333333326,0.0,105.0,5.0,3,2.1
